Proceso,Tiempo de Inicio,Tiempo de Finalización
Proceso 0,0,2
Proceso 1,1,2
Proceso 2,2,3
Proceso 3,3,4
Proceso 4,4,5
Proceso 5,5,7
Proceso 6,6,7
Proceso 7,7,9
Proceso 8,8,9
Proceso 9,9,10
Proceso 11,11,12
Proceso 10,10,13
Proceso 12,12,13
Proceso 13,13,14
Proceso 14,14,15
Proceso 15,15,16
Proceso 16,16,17
Proceso 17,17,18
Proceso 18,18,19
Proceso 19,19,21
Proceso 20,20,22
Proceso 21,21,23
Proceso 22,22,23
Proceso 23,23,24
Proceso 24,24,25
Proceso 25,25,26
Proceso 26,26,28
Proceso 27,27,28
Proceso 28,28,29
Proceso 29,29,31
Proceso 30,30,32
Proceso 31,31,33
Proceso 32,32,33
Proceso 33,33,34
Proceso 34,34,35
Proceso 35,35,36
Proceso 36,36,37
Proceso 37,37,39
Proceso 38,38,39
Proceso 39,39,41
Proceso 40,40,42
Proceso 41,41,42
Proceso 42,42,43
Proceso 43,43,46
Proceso 44,44,46
Proceso 45,45,47
Proceso 46,46,47
Proceso 47,47,48
Proceso 48,48,50
Proceso 49,49,51
Proceso 50,50,51
Proceso 51,51,53
Proceso 52,52,53
Proceso 53,53,54
Proceso 54,54,55
Proceso 55,55,56
Proceso 56,56,57
Proceso 57,57,58
Proceso 58,58,60
Proceso 59,59,60
Proceso 60,60,62
Proceso 61,61,62
Proceso 62,62,63
Proceso 63,63,65
Proceso 64,64,65
Proceso 65,65,66
Proceso 66,66,67
Proceso 67,67,68
Proceso 68,68,69
Proceso 69,69,71
Proceso 70,70,71
Proceso 71,71,73
Proceso 72,72,74
Proceso 73,73,74
Proceso 74,74,76
Proceso 75,75,77
Proceso 76,76,78
Proceso 77,77,78
Proceso 78,78,79
Proceso 79,79,81
Proceso 80,80,81
Proceso 81,81,82
Proceso 82,82,83
Proceso 83,83,85
Proceso 84,84,85
Proceso 85,85,86
Proceso 86,86,88
Proceso 87,87,88
Proceso 88,88,89
Proceso 89,89,91
Proceso 90,90,91
Proceso 91,91,93
Proceso 92,92,93
Proceso 93,93,94
Proceso 94,94,95
Proceso 95,95,97
Proceso 96,96,98
Proceso 97,97,98
Proceso 98,98,99
Proceso 99,99,100
Proceso 100,100,102
Proceso 101,101,103
Proceso 102,102,104
Proceso 103,103,104
Proceso 104,104,105
Proceso 105,105,106
Proceso 106,106,108
Proceso 107,107,108
Proceso 108,108,110
Proceso 109,109,110
Proceso 110,110,111
Proceso 111,111,113
Proceso 112,112,113
Proceso 113,113,114
Proceso 114,114,115
Proceso 115,115,117
Proceso 116,116,117
Proceso 117,117,119
Proceso 118,118,120
Proceso 119,119,120
Proceso 120,120,122
Proceso 121,121,122
Proceso 122,122,123
Proceso 123,123,124
Proceso 124,124,125
Proceso 125,125,126
Proceso 126,126,127
Proceso 127,127,128
Proceso 128,128,129
Proceso 129,129,130
Proceso 130,130,132
Proceso 131,131,133
Proceso 132,132,134
Proceso 133,133,134
Proceso 134,134,135
Proceso 135,135,136
Proceso 136,136,137
Proceso 137,137,138
Proceso 138,138,140
Proceso 139,139,140
Proceso 140,140,141
Proceso 141,141,142
Proceso 142,142,143
Proceso 143,143,144
Proceso 144,144,145
Proceso 145,145,146
Proceso 146,146,148
Proceso 147,147,148
Proceso 148,148,150
Proceso 149,149,150
Proceso 150,150,151
Proceso 151,151,153
Proceso 152,152,153
Proceso 153,153,154
Proceso 154,154,155
Proceso 155,155,157
Proceso 156,156,158
Proceso 157,157,159
Proceso 158,158,159
Proceso 159,159,160
Proceso 160,160,161
Proceso 161,161,163
Proceso 162,162,163
Proceso 163,163,165
Proceso 164,164,166
Proceso 165,165,166
Proceso 166,166,168
Proceso 167,167,168
Proceso 168,168,169
Proceso 169,169,170
Proceso 170,170,172
Proceso 171,171,173
Proceso 172,172,174
Proceso 173,173,174
Proceso 174,174,175
Proceso 175,175,177
Proceso 176,176,177
Proceso 177,177,179
Proceso 178,178,180
Proceso 179,179,180
Proceso 180,180,182
Proceso 181,181,183
Proceso 182,182,184
Proceso 183,183,184
Proceso 184,184,185
Proceso 185,185,186
Proceso 186,186,187
Proceso 187,187,189
Proceso 188,188,190
Proceso 189,189,191
Proceso 190,190,191
Proceso 191,191,193
Proceso 192,192,193
Proceso 193,193,194
Proceso 194,194,196
Proceso 195,195,196
Proceso 196,196,197
Proceso 197,197,198
Proceso 198,198,199
Proceso 199,199,201
